  0.003680 -0.000001 -0.000001  0.000920
  0.011039 -0.000001 -0.000001  0.001840
  0.018399 -0.000006 -0.000006  0.002760
  0.025758 -0.000013 -0.000013  0.003680
  0.033117 -0.000025 -0.000025  0.004600
  0.040477 -0.000040 -0.000040  0.005520
  0.047836 -0.000059 -0.000059  0.006440
  0.055196 -0.000081 -0.000081  0.007359
  0.062555 -0.000107 -0.000107  0.008279
  0.069915 -0.000136 -0.000136  0.009199
  0.077274 -0.000170 -0.000170  0.010119
  0.084634 -0.000206 -0.000206  0.011039
  0.091993 -0.000247 -0.000247  0.011959
  0.099352 -0.000291 -0.000291  0.012879
  0.106712 -0.000338 -0.000338  0.013799
  0.114071 -0.000389 -0.000389  0.014719
  0.121431 -0.000444 -0.000444  0.015639
  0.128790 -0.000503 -0.000503  0.016559
  0.136150 -0.000565 -0.000565  0.017479
  0.143509 -0.000630 -0.000630  0.018399
  0.150868 -0.000699 -0.000699  0.019319
  0.158228 -0.000772 -0.000772  0.020238
  0.165587 -0.000849 -0.000849  0.021158
  0.172947 -0.000929 -0.000929  0.022078
  0.180306 -0.001012 -0.001012  0.022998
  0.187666 -0.001100 -0.001100  0.023918
  0.195025 -0.001191 -0.001191  0.024838
  0.202384 -0.001285 -0.001285  0.025758
  0.209744 -0.001383 -0.001383  0.026678
  0.217103 -0.001485 -0.001485  0.027598
  0.224463 -0.001590 -0.001590  0.028518
  0.231822 -0.001699 -0.001699  0.029438
  0.239182 -0.001812 -0.001812  0.030358
  0.246541 -0.001928 -0.001928  0.031278
  0.253900 -0.002048 -0.002048  0.032198
  0.261260 -0.002171 -0.002171  0.033117
  0.268619 -0.002298 -0.002298  0.034037
  0.275979 -0.002429 -0.002429  0.034957
  0.283338 -0.002563 -0.002563  0.035877
  0.290698 -0.002701 -0.002701  0.036797
  0.298057 -0.002842 -0.002842  0.037717
  0.305416 -0.002987 -0.002987  0.038637
  0.312776 -0.003136 -0.003136  0.039557
  0.320135 -0.003288 -0.003288  0.040477
  0.327495 -0.003444 -0.003444  0.041397
  0.334854 -0.003604 -0.003604  0.042317
  0.342214 -0.003767 -0.003767  0.043237
  0.349573 -0.003934 -0.003934  0.044157
  0.356932 -0.004104 -0.004104  0.045077
  0.364292 -0.004278 -0.004278  0.045996
  0.371651 -0.004455 -0.004455  0.046916
  0.379011 -0.004637 -0.004637  0.047836
  0.386370 -0.004821 -0.004821  0.048756
  0.393730 -0.005010 -0.005010  0.049676
  0.401089 -0.005202 -0.005202  0.050596
  0.408448 -0.005397 -0.005397  0.051516
  0.415808 -0.005597 -0.005597  0.052436
  0.423167 -0.005799 -0.005799  0.053356
  0.430527 -0.006006 -0.006006  0.054276
  0.437886 -0.006216 -0.006216  0.055196
  0.445246 -0.006430 -0.006430  0.056116
  0.452605 -0.006647 -0.006647  0.057036
  0.459964 -0.006868 -0.006868  0.057956
  0.467324 -0.007092 -0.007092  0.058875
  0.474683 -0.007320 -0.007320  0.059795
  0.482043 -0.007552 -0.007552  0.060715
  0.489402 -0.007787 -0.007787  0.061635
  0.496762 -0.008026 -0.008026  0.062555
  0.504121 -0.008269 -0.008269  0.063475
  0.511480 -0.008515 -0.008515  0.064395
  0.518840 -0.008764 -0.008764  0.065315
  0.526199 -0.009018 -0.009018  0.066235
  0.533559 -0.009274 -0.009275  0.067155
  0.540918 -0.009535 -0.009535  0.068075
  0.548278 -0.009799 -0.009799  0.068995
  0.555637 -0.010066 -0.010067  0.069915
  0.562996 -0.010337 -0.010338  0.070835
  0.570356 -0.010612 -0.010612  0.071755
  0.577715 -0.010890 -0.010891  0.072674
  0.585075 -0.011171 -0.011172  0.073594
  0.592434 -0.011456 -0.011457  0.074514
  0.599793 -0.011744 -0.011746  0.075434
  0.607153 -0.012036 -0.012038  0.076354
  0.614512 -0.012331 -0.012334  0.077274
  0.621872 -0.012630 -0.012632  0.078194
  0.629231 -0.012931 -0.012935  0.079114
  0.636590 -0.013236 -0.013240  0.080034
  0.643950 -0.013544 -0.013549  0.080954
  0.651309 -0.013855 -0.013861  0.081874
  0.658668 -0.014169 -0.014176  0.082794
  0.666028 -0.014486 -0.014494  0.083714
  0.673387 -0.014806 -0.014815  0.084634
  0.680746 -0.015128 -0.015139  0.085553
  0.688106 -0.015453 -0.015466  0.086473
  0.695465 -0.015780 -0.015795  0.087393
  0.702824 -0.016110 -0.016127  0.088313
  0.710183 -0.016441 -0.016462  0.089233
  0.717542 -0.016775 -0.016798  0.090153
  0.724902 -0.017110 -0.017137  0.091073
  0.732261 -0.017446 -0.017478  0.091993
  0.739620 -0.017783 -0.017820  0.092913
  0.746979 -0.018121 -0.018163  0.093833
  0.754337 -0.018459 -0.018508  0.094753
  0.761696 -0.018798 -0.018854  0.095673
  0.769055 -0.019136 -0.019200  0.096593
  0.776414 -0.019473 -0.019547  0.097513
  0.783772 -0.019809 -0.019893  0.098432
  0.791130 -0.020144 -0.020239  0.099352
  0.798489 -0.020476 -0.020584  0.100272
  0.805847 -0.020805 -0.020927  0.101192
  0.813205 -0.021130 -0.021269  0.102112
  0.820562 -0.021451 -0.021608  0.103032
  0.827920 -0.021768 -0.021945  0.103952
  0.835277 -0.022078 -0.022278  0.104872
  0.842634 -0.022382 -0.022606  0.105792
  0.849991 -0.022678 -0.022930  0.106712
  0.857348 -0.022966 -0.023248  0.107632
  0.864704 -0.023244 -0.023559  0.108552
  0.872060 -0.023511 -0.023864  0.109472
  0.879416 -0.023767 -0.024160  0.110392
  0.886771 -0.024010 -0.024447  0.111311
  0.894126 -0.024239 -0.024724  0.112231
  0.901480 -0.024452 -0.024990  0.113151
  0.908834 -0.024649 -0.025245  0.114071
  0.916187 -0.024827 -0.025486  0.114991
  0.923540 -0.024985 -0.025713  0.115911
  0.930892 -0.025122 -0.025924  0.116831
  0.938244 -0.025236 -0.026119  0.117751
  0.945595 -0.025326 -0.026296  0.118671
  0.952945 -0.025390 -0.026454  0.119591
  0.960295 -0.025425 -0.026592  0.120511
  0.967644 -0.025431 -0.026708  0.121431
  0.974992 -0.025405 -0.026800  0.122351
  0.982340 -0.025346 -0.026868  0.123271
  0.989686 -0.025252 -0.026910  0.124190
  0.997032 -0.025121 -0.026925  0.125110
  1.004377 -0.024950 -0.026911  0.126030
  1.011721 -0.024739 -0.026867  0.126950
  1.019064 -0.024485 -0.026791  0.127870
  1.026407 -0.024187 -0.026683  0.128790
  1.033749 -0.023842 -0.026540  0.129710
  1.041089 -0.023448 -0.026361  0.130630
  1.048429 -0.023005 -0.026145  0.131550
  1.055769 -0.022509 -0.025891  0.132470
  1.063107 -0.021960 -0.025598  0.133390
  1.070445 -0.021356 -0.025264  0.134310
  1.077782 -0.020695 -0.024888  0.135230
  1.085119 -0.019975 -0.024470  0.136150
  1.092455 -0.019197 -0.024007  0.137070
  1.099792 -0.018357 -0.023500  0.137989
  1.107127 -0.017455 -0.022948  0.138909
